Cool,Neutral,Warm,,,,
#fcf7f5,#fbf7f3,#fbf5f0,,,,
#f9eeeb,#f7eee8,#f6ece0,,,,
#f5e6e2,#f2e6dc,#f2e2d1,,,,
#f2ddd8,#eeddd1,#edd9c2,,,,
#efd5ce,#ead5c5,#e9cfb3,,,,
#eccdc4,#e6cdb9,#e5c5a3,,,,
#e9c4ba,#e2c4ae,#e0bc94,,,,
#e5bcb1,#ddbca2,#dcb285,,,,
#e2b3a7,#d9b397,#d7a975,,,,
#dfab9d,#d5ab8b,#d39f66,,,,
#c99a8d,#c09a7d,#be8f5c,,,,
#b2897e,#aa896f,#a97f52,,,,
#9c786e,#957861,#946f47,,,,
#86675e,#806753,#7f5f3d,,,,
#70564f,#6b5646,#6a5033,,,,
#59443f,#554438,#544029,,,,
#43332f,#40332a,#3f301f,,,,
#2d221f,#2b221c,#2a2014,,,,
#fcfaf8,#fefbf9,#fefbf8,,,,
#f9f4f1,#fdf7f3,#fdf7f1,,,,
#f6efea,#fbf3ed,#fcf2ea,,,,
#f3eae3,#faefe7,#fbeee3,,,,
#f1e5dc,#f9ebe2,#fbeadd,,,,
#eedfd4,#f8e7dc,#fae6d6,,,,
#ebdacd,#f7e3d6,#f9e2cf,,,,
#e8d5c6,#f5dfd0,#f8ddc8,,,,
#e5cfbf,#f4dbca,#f7d9c1,,,,
#e2cab8,#f3d7c4,#f6d5ba,,,,
#cbb6a6,#dbc2b0,#ddc0a7,,,,
#b5a293,#c2ac9d,#c5aa95,,,,
#9e8d81,#aa9789,#ac9582,,,,
#88796e,#928176,#948070,,,,
#71655c,#7a6c62,#7b6b5d,,,,
#5a514a,#61564e,#62554a,,,,
#443d37,#49413b,#4a4038,,,,
#2d2825,#312b27,#312b25,,,,
#fcf9f6,#fbf8f5,#fcf8f5,,,,
#f9f2ed,#f8f1ec,#f8f1ea,,,,
#f5ece3,#f4eae2,#f5eae0,,,,
#f2e5da,#f1e3d9,#f2e3d5,,,,
#efdfd1,#edddcf,#efddcb,,,,
#ecd8c8,#e9d6c5,#ebd6c0,,,,
#e9d2bf,#e6cfbc,#e8cfb6,,,,
#e5cbb5,#e2c8b2,#e5c8ab,,,,
#e2c5ac,#dfc1a9,#e1c1a1,,,,
#dfbea3,#dbba9f,#deba96,,,,
#c9ab93,#c5a78f,#c8a787,,,,
#b29882,#af957f,#b29578,,,,
#9c8572,#99826f,#9b8269,,,,
#867262,#83705f,#85705a,,,,
#705f52,#6e5d50,#6f5d4b,,,,
#594c41,#584a40,#594a3c,,,,
#433931,#423830,#43382d,,,,
#2d2621,#2c2520,#2c251e,,,,
#fefaf7,#faf5f1,#fbf7f4,,,,
#fcf5ef,#f4eae4,#f7efe8,,,,
#fbefe8,#efe0d6,#f3e7dd,,,,
#f9eae0,#e9d6c9,#efdfd1,,,,
#f8e5d8,#e4ccbb,#ecd8c6,,,,
#f6e0d0,#dfc1ad,#e8d0bb,,,,
#f5dbc8,#d9b7a0,#e4c8af,,,,
#f3d5c1,#d4ad92,#e0c0a4,,,,
#f2d0b9,#cea285,#dcb898,,,,
#f0cbb1,#c99877,#d8b08d,,,,
#d8b79f,#b5896b,#c29e7f,,,,
#c0a28e,#a17a5f,#ad8d71,,,,
#a88e7c,#8d6a53,#977b63,,,,
#907a6a,#795b47,#826a55,,,,
#786659,#654c3c,#6c5847,,,,
#605147,#503d30,#564638,,,,
#483d35,#3c2e24,#41352a,,,,
#302923,#281e18,#2b231c,,,,
#fbf6f3,#f8f4f0,#faf3ef,,,,
#f7eee8,#f2e9e0,#f5e7df,,,,
#f3e5dc,#ebddd1,#f0dbce,,,,
#efddd0,#e4d2c2,#ebcfbe,,,,
#ebd4c5,#dec7b3,#e6c3ae,,,,
#e6cbb9,#d7bca3,#e0b69e,,,,
#e2c3ad,#d0b194,#dbaa8e,,,,
#debaa1,#c9a585,#d69e7d,,,,
#dab296,#c39a75,#d1926d,,,,
#d6a98a,#bc8f66,#cc865d,,,,
#c1987c,#a9815c,#b87954,,,,
#ab876e,#967252,#a36b4a,,,,
#967661,#846447,#8f5e41,,,,
#806553,#71563d,#7a5038,,,,
#6b5545,#5e4833,#66432f,,,,
#564437,#4b3929,#523625,,,,
#403329,#261d14,#3d281c,,,,
#2b221c,#261d14,#291b13,,,,
#f8f2ee,#f8f3ef,#f7f2ee,,,,
#f0e6dd,#f1e6de,#f0e4de,,,,
#e9d9cb,#eadace,#e8d7cd,,,,
#e1ccba,#e3cdbe,#e0cabc,,,,
#dac0a9,#dcc1ae,#d9bdac,,,,
#d3b398,#d5b49d,#d1af9b,,,,
#cba687,#cea88d,#c9a28a,,,,
#c49975,#c79b7d,#c19579,,,,
#bc8d64,#c08f6c,#ba8769,,,,
#b58053,#b9825c,#b27a58,,,,
#a3734b,#a77553,#a06e4f,,,,
#916642,#94684a,#8e6246,,,,
#7f5a3a,#825b40,#7d553e,,,,
#6d4d32,#6f4e37,#6b4935,,,,
#5b402a,#5d412e,#593d2c,,,,
#483321,#4a3425,#473123,,,,
#362619,#38271c,#35251a,,,,
#241a11,#251a12,#241811,,,,
#120d08,#120d09,#120c09,,,,
#f0ebea,#f6f1ed,#f5f0ed,,,,
#e0d7d4,#ece2db,#eae0db,,,,
#d1c3bf,#e3d4c9,#e0d1c9,,,,
#c1afa9,#d9c5b7,#d5c1b7,,,,
#b29c94,#d0b7a5,#cbb2a6,,,,
#a3887f,#c7a992,#c0a294,,,,
#937469,#bd9a80,#b69382,,,,
#846054,#b48c6e,#ab8370,,,,
#744c3e,#aa7d5c,#a1745e,,,,
#653829,#a16f4a,#96644c,,,,
#5b3225,#916443,#875a44,,,,
#512d21,#81593b,#78503d,,,,
#47271d,#714e34,#694635,,,,
#3d2219,#61432c,#5a3c2e,,,,
#331c15,#513825,#4b3226,,,,
#281610,#402c1e,#3c281e,,,,
#1e110c,#302117,#2d1e17,,,,
#140b08,#20160f,#1e140f,,,,
#0a0604,#100b07,#0f0a08,,,,
#eeebe9,#efebe9,#eeeae9,,,,
#dcd7d3,#dfd6d2,#ddd5d2,,,,
#cbc3bd,#cfc2bc,#ccc1bc,,,,
#baafa7,#bfada5,#bbaca6,,,,
#a99b92,#af998f,#ab9790,,,,
#97877c,#9f8578,#9a8279,,,,
#867366,#8f7062,#896d63,,,,
#755f50,#7f5c4b,#78594d,,,,
#634b3a,#6f4735,#674436,,,,
#523724,#5f331e,#562f20,,,,
#4a3220,#562e1b,#4d2a1d,,,,
#422c1d,#4c2918,#45261a,,,,
#392719,#432415,#3c2116,,,,
#312115,#391f12,#331c13,,,,
#291c12,#301a0f,#2b1810,,,,
#21160e,#26140c,#22130d,,,,
#19110b,#1d0f09,#1a0e0a,,,,
